SYMBOL	GSM995221_AD01M001.CEL.gz	GSM995222_AD01M002.CEL.gz	GSM995223_AD01M003.CEL.gz	GSM995224_AD01M004.CEL.gz	GSM995225_AD01M005.CEL.gz	GSM995226_AD01M006.CEL.gz	GSM995227_AD01M007.CEL.gz	GSM995228_AD01M008.CEL.gz
Cd200r1	8.722183325425132	8.641051050120524	7.56888271940714	7.556484715109439	5.8551323234139385	6.452499132293825	5.960779865012678	5.862073882593437
Cpox	9.811195578263346	9.586827984469483	9.160520700759712	8.787457539872662	7.560568077577221	7.570068519878216	7.689191042980619	7.699326478475369
Cldnd1	12.018280608888846	11.930077249643357	11.723027167354932	11.62871389972941	9.067842097067976	9.873291814535772	9.748266130993676	9.475115003492512
Tigit	11.142259656264887	11.254207403399644	10.433585251339093	10.392004816528395	8.797069848443632	9.62247354419485	9.44308286250466	9.087842694809178
Myo1f	8.8632330256723435	8.791788804130451	8.389924322574043	8.32673165655347	7.488603474162794	7.357131740723801	7.404790819520998	7.40903286320403
Eif2ak2	9.108384503198282	9.006712188133672	8.207474651769129	8.098614471679095	6.9270170112569485	7.436891633813201	6.984943840882201	6.804675634375031
Ttc39c	10.299032540170188	10.206066425838063	9.017575308813749	8.83028491124147	7.098075936303352	7.109266905778159	7.261703330580719	7.233373184262696
Cd74	9.706221515659532	9.561611626217026	8.539360683264164	8.429558006821143	7.0017654800666955	6.840998866171221	6.76785014097485	6.6582366735239775
S100a11	11.09478367635955	10.996409721721948	11.001380358967094	10.995976861879463	9.742090961544273	9.904162554368042	9.921983801573845	9.803848136559647
Entpd1	6.187053415465979	5.642028973317614	6.428645566054759	6.303937381407222	6.48303447867914	6.097888278209068	6.392346146622624	6.315316667973166
AW112010	12.031679508254841	12.02709276036887	10.579895749936888	10.443648315460166	8.37827853178538	9.466179118150615	9.229686947574777	8.719927082286436
Vim	12.04260445227461	12.06320769773043	11.525750711587204	11.468953273444402	9.438066269165708	10.23478787998986	9.908326559310636	9.558664561343667
Gm14085	8.223600298483252	8.348537716996733	8.699970047609066	8.87729629001823	10.029333558769878	11.39387955731846	10.582077981382339	10.593490051409905
Gata3	11.341040349458117	11.327359879026773	10.544602315108008	10.48488023841971	8.920907530440083	9.30547389998019	8.856778894413829	8.743709571749477
